account_length,international_plan,voice_mail_plan,total_intl_charge,number_customer_service_calls,churn,total_call,total_minutes,total_charge
83,0,0,2.97,0,no,267,586.1,59.17
49,0,0,4.21,0,no,300,718.7,69.67
111,0,1,3.78,1,no,308,640.7,63.3
50,0,1,2.3,3,no,357,589.2,65.24
88,0,0,2.03,1,no,343,475.20000000000005,50.49
131,0,1,2.46,0,no,352,275.2,25.08
79,0,0,1.62,3,yes,228,729.0,73.94
140,0,0,3.11,2,no,322,595.8,66.53999999999999
105,0,0,2.57,1,no,245,598.0,61.790000000000006
87,0,1,2.3,3,no,289,575.3000000000001,63.0
96,0,1,2.84,1,no,325,559.0,55.9
79,0,0,2.54,5,yes,263,583.2,53.71
55,0,0,2.51,0,no,320,626.9,56.63
130,0,0,2.51,2,no,304,487.70000000000005,56.379999999999995
34,0,0,2.67,0,no,289,469.0,45.24
139,0,0,2.24,1,no,266,437.5,43.53
109,0,0,2.57,1,yes,275,767.1,79.81
65,0,1,3.24,1,no,252,659.8,71.06
152,0,0,2.0,3,no,302,405.29999999999995,48.08
147,0,0,2.11,1,no,307,612.6,59.9
112,0,1,2.48,2,no,374,672.5999999999999,62.12
120,0,0,2.59,2,no,322,554.0,62.44
171,0,0,3.32,1,no,333,626.8,64.64999999999999
101,0,1,4.19,0,no,320,594.1,59.31
32,0,1,4.4,1,no,314,711.8,74.67
151,0,0,3.19,0,no,281,479.8,49.28
60,0,0,3.02,3,no,240,585.2,51.93
119,0,0,2.03,1,no,248,606.1,58.37
43,0,0,1.59,1,no,326,636.1,64.03999999999999
84,0,0,2.54,1,no,287,571.4,62.29
65,0,0,2.4,0,no,324,555.1,56.65
75,1,0,2.35,1,yes,293,757.4,74.97
116,0,0,3.54,1,no,291,585.1,57.60999999999999
107,0,0,2.51,0,no,264,537.6,45.91
189,0,1,3.08,3,no,305,530.2,61.97
123,0,0,1.76,1,no,333,603.1,56.7
110,0,0,3.0,3,no,240,537.8,46.05
63,0,1,2.32,1,no,327,448.70000000000005,31.54
176,0,0,2.73,3,no,287,592.0,63.11
108,0,0,3.4,1,no,334,603.4,58.56999999999999
71,0,0,2.21,1,no,326,536.2,64.08999999999999
137,0,0,2.75,1,no,315,512.7,49.17999999999999
82,0,0,1.54,4,no,274,654.4,63.730000000000004
92,0,1,2.16,3,no,332,598.8,53.91
165,0,0,2.94,6,no,298,611.6,57.54
96,0,0,3.13,1,no,321,423.29999999999995,35.47
156,0,0,2.03,1,no,268,526.4000000000001,53.17
63,0,0,2.46,0,no,251,629.5,57.94
37,0,0,2.27,0,no,263,699.1,64.65
98,0,0,2.97,0,no,279,595.1,61.519999999999996
121,0,0,2.89,0,no,305,399.5,36.05
94,0,0,2.08,0,no,316,426.7,42.989999999999995
99,0,0,3.81,1,no,326,598.7,57.39
163,0,1,2.81,1,no,286,579.3,53.65
161,0,0,1.76,3,no,290,608.8,62.83
108,0,0,0.97,1,no,262,605.3,62.0
84,0,1,2.05,3,no,287,649.6,58.84
83,1,1,2.86,2,no,318,449.5,38.239999999999995
139,0,0,2.62,2,no,256,553.5,56.4
69,0,0,3.38,3,no,297,671.9,63.32000000000001
106,0,0,0.0,2,no,283,425.4,36.58
158,0,0,1.86,2,no,335,636.4,64.62
168,0,1,1.97,2,no,256,562.1,55.74
115,1,0,4.13,1,yes,320,644.0999999999999,69.92
57,1,1,3.08,2,no,340,698.5,68.55999999999999
67,0,0,1.94,1,no,285,609.5999999999999,62.540000000000006
127,0,0,2.51,1,no,350,536.2,53.71
78,0,0,3.16,2,no,286,641.3,60.42
100,0,1,2.0,0,no,268,583.5,54.94
103,0,1,2.94,6,yes,282,423.2,36.71
113,0,0,3.65,1,no,338,514.4,57.830000000000005
129,0,1,4.43,1,no,304,586.3,57.57
57,0,0,3.21,2,no,311,581.2,52.83
82,0,0,2.11,1,no,310,602.0999999999999,51.89
64,0,0,2.48,1,no,322,636.2,64.33
86,0,1,3.43,2,no,324,630.3,69.58
151,0,1,3.62,0,no,333,594.1,58.33
94,0,0,3.11,3,yes,261,695.4,73.29
90,0,0,2.16,2,no,328,726.0,70.25999999999999
48,0,0,1.94,2,no,291,631.0,71.27
93,1,1,3.27,1,no,331,532.6,54.2
169,1,0,1.76,3,no,279,531.5,39.04
91,1,0,4.51,2,yes,342,544.5,49.66
101,0,0,2.38,1,no,286,603.0999999999999,59.32000000000001
67,0,1,2.54,1,no,213,581.9,62.57
66,0,0,3.11,0,no,314,442.20000000000005,35.29
116,0,1,3.08,5,no,341,682.1,64.49
158,0,0,2.81,1,no,296,560.9,57.03
119,0,1,1.78,1,no,299,554.0,55.11
120,0,0,1.73,1,no,336,502.5,46.2
155,0,0,2.11,1,no,341,607.1,58.23
106,0,0,2.35,1,no,328,612.5,65.96000000000001
146,0,1,2.21,3,no,278,487.7,48.620000000000005
101,0,1,2.73,0,no,291,549.2,47.31
22,0,1,3.43,3,no,255,475.5,50.75
90,0,0,2.97,2,no,317,406.9,37.519999999999996
41,0,0,2.59,1,no,314,585.5,57.46
33,0,0,2.65,2,no,278,602.4000000000001,63.42999999999999
112,0,0,3.54,1,no,297,543.7,48.68000000000001
108,0,1,2.65,2,no,307,674.6,73.74000000000001
136,0,1,2.57,2,no,305,681.2,60.32
128,0,0,2.73,1,no,247,664.5,64.15
27,0,0,2.27,2,no,319,574.2,60.07000000000001
161,1,0,0.35,1,no,332,641.5,63.25999999999999
33,0,1,4.05,0,no,296,765.6,68.25
120,0,1,3.08,0,no,255,610.0,55.4
122,1,0,2.97,0,yes,288,656.5,68.13
148,0,1,4.1,2,no,379,598.9,62.28
74,0,0,2.62,3,no,272,611.7,65.31
106,0,0,2.97,1,no,302,582.1999999999999,59.599999999999994
179,0,0,3.59,1,no,269,576.4,54.92
149,1,1,2.38,5,yes,276,439.0,42.29
77,0,0,2.48,0,no,298,610.6,59.45
127,1,0,2.08,1,yes,348,527.0,52.540000000000006
106,0,0,2.89,1,no,257,568.8,54.660000000000004
61,0,1,2.84,0,no,320,667.5,68.3
135,1,1,1.57,2,no,243,577.0,50.53
115,0,1,3.67,6,no,255,613.4,57.61
167,1,0,2.73,2,no,291,630.9,65.5
112,1,0,2.89,1,no,386,496.8,50.629999999999995
35,0,1,2.54,1,no,256,672.5999999999999,66.16
103,1,0,2.54,3,no,268,513.4,37.769999999999996
107,0,1,3.02,1,no,341,664.2,70.77
69,0,0,2.89,3,no,210,634.5,67.62
24,0,0,3.0,2,yes,293,656.9000000000001,71.11
90,0,0,3.19,2,no,292,466.4,52.56
137,0,0,2.84,3,no,254,503.2,45.39
92,1,1,2.03,0,no,267,573.4,68.86
38,0,0,3.81,2,no,239,591.1,55.28999999999999
69,1,1,2.21,1,yes,285,690.3,75.13999999999999
73,0,0,4.08,1,no,316,594.5,59.75
92,0,0,2.92,1,no,294,625.2,63.53
113,0,1,2.27,1,no,337,476.70000000000005,49.18
68,1,0,3.92,1,yes,372,566.4,52.83
135,0,1,3.94,2,no,343,591.2,61.620000000000005
100,0,1,4.29,1,no,365,505.0,47.45
96,0,1,3.05,1,no,294,661.6,71.27000000000001
108,0,0,2.54,1,no,331,628.7,67.14999999999999
84,0,0,1.76,0,no,286,757.1,70.7
134,0,0,3.4,1,no,261,752.9,70.07
72,0,0,2.65,0,no,240,683.1,71.14
83,0,0,1.84,0,no,280,505.5,56.099999999999994
56,0,1,3.27,1,no,316,493.79999999999995,45.0
171,0,1,1.57,1,no,296,627.8,61.21
123,0,0,3.27,1,no,340,582.3,60.129999999999995
58,0,0,2.67,0,no,342,520.1,57.03
156,0,0,3.54,1,no,258,416.1,38.31
166,0,0,4.13,0,no,299,641.0999999999999,61.64
75,0,1,3.35,1,no,293,506.0,47.269999999999996
75,0,0,1.54,2,yes,288,769.5,80.74
83,0,0,3.27,1,no,293,647.0999999999999,65.91
243,0,0,1.78,2,no,273,523.4,42.04
153,0,0,4.08,1,no,324,599.4,58.45
150,0,0,3.54,1,no,331,583.7,52.660000000000004
92,0,1,3.43,2,no,329,445.5,46.1
80,0,0,3.54,0,no,285,339.29999999999995,30.25
77,0,1,2.73,1,no,230,447.6,43.769999999999996
74,0,0,3.13,1,no,309,566.0,55.45
143,0,0,3.29,0,no,353,629.8,54.74
64,0,0,1.49,2,no,348,636.3,59.84
120,0,0,2.67,2,no,210,548.6999999999999,58.75
121,1,0,3.62,3,yes,330,502.7,47.33
88,0,0,3.19,2,no,278,658.4,63.56999999999999
87,0,0,2.54,2,yes,327,713.3,80.6
100,0,0,2.75,0,no,318,570.1999999999999,61.31
104,0,0,2.54,3,no,284,418.3,33.0
27,0,0,2.67,1,no,263,347.1,33.05
81,0,1,2.62,0,no,317,604.5999999999999,62.53
64,1,1,2.19,0,no,306,537.5,46.6
107,0,1,3.21,1,no,340,732.3,70.38000000000001
111,0,0,2.43,3,no,342,595.1,50.01
77,0,0,2.78,5,no,310,550.0,60.65
67,1,0,3.08,2,no,276,451.0,44.81
102,0,0,4.27,1,no,302,521.7,56.74
146,0,1,3.94,1,no,252,554.8,53.55
96,0,0,2.78,1,yes,331,667.1,60.230000000000004
70,0,1,2.78,1,no,278,575.0,49.46
149,0,0,2.46,0,no,297,637.4,66.07000000000001
129,0,0,2.48,2,no,298,574.5,61.239999999999995
166,0,0,2.94,0,no,338,573.3,62.2
136,1,0,2.97,3,yes,269,483.4,55.16
149,0,0,2.59,3,no,264,718.1,70.47
70,0,0,2.05,3,no,299,630.8,54.660000000000004
66,0,0,1.67,2,no,376,623.8,67.32
104,0,0,3.43,1,no,343,519.4,51.15
160,0,0,2.48,1,no,300,636.0999999999999,58.49
129,0,1,3.16,1,no,278,555.4,57.230000000000004
93,0,0,3.05,3,yes,278,753.5999999999999,76.32
169,0,0,2.67,2,no,333,583.0,55.64
58,0,0,4.02,1,no,358,555.4,51.529999999999994
75,0,1,3.54,3,no,360,656.0999999999999,55.84
45,0,0,3.35,1,no,290,578.0999999999999,58.06999999999999
155,0,0,2.4,3,no,319,429.3,47.34
52,0,0,2.67,4,no,315,535.7,57.190000000000005
119,0,1,3.0,0,no,341,634.8,66.81
86,0,0,2.21,1,no,258,506.20000000000005,46.620000000000005
42,0,0,1.08,0,no,317,581.0,60.36
127,1,0,2.0,2,no,337,640.3,59.81
149,0,1,2.94,1,no,281,622.8,60.85
160,0,0,2.51,1,no,303,710.4000000000001,62.260000000000005
137,0,0,2.03,1,no,309,594.1,55.540000000000006
129,1,0,1.59,1,no,309,583.3,67.85
62,0,0,0.0,1,no,248,519.5,64.93
122,0,1,3.19,4,no,310,661.1,72.42
32,0,0,2.75,1,no,248,560.0999999999999,54.03
130,0,0,1.94,1,no,364,568.0,57.53
42,0,0,2.16,1,no,314,447.20000000000005,48.650000000000006
73,0,0,4.05,2,no,267,552.1,62.44
66,0,1,1.46,2,no,338,688.9000000000001,72.59
103,0,1,2.4,0,no,326,492.8,43.199999999999996
128,0,0,2.05,1,no,243,693.6,61.660000000000004
103,0,0,3.35,0,no,326,420.2,45.42
124,0,0,3.24,0,no,297,591.4,58.26
87,0,0,1.67,1,no,337,476.9,41.66
109,0,1,3.32,1,yes,274,585.4000000000001,56.050000000000004
167,1,0,2.89,2,no,306,482.3,54.74
97,0,0,3.21,4,yes,260,484.70000000000005,43.7
125,0,0,3.89,2,no,356,488.4,44.04
108,0,1,4.19,0,no,320,611.9,62.54
89,0,1,2.35,1,no,309,683.9000000000001,67.0
23,0,0,3.05,2,yes,380,714.3000000000001,82.41
149,0,0,2.21,7,no,299,593.7,56.29
73,0,0,1.59,0,no,280,568.9,60.25
61,0,0,2.43,1,yes,320,705.2,72.65
161,0,0,3.62,4,yes,307,467.6,47.87
118,0,1,4.56,1,no,228,473.2,40.45
23,0,0,4.05,6,no,270,576.4000000000001,56.36
127,0,1,1.38,0,no,308,510.4,39.77
42,0,1,2.19,0,no,309,532.0,51.53
45,0,0,2.86,2,no,270,443.20000000000005,44.74000000000001
50,0,1,2.86,1,no,314,816.6,75.12
179,0,0,2.84,0,yes,349,841.3,85.29
152,0,0,2.03,2,no,333,441.3,38.17
72,0,0,2.24,0,no,277,520.6,41.690000000000005
52,0,0,1.4,1,no,305,775.7,70.58000000000001
125,0,0,2.97,1,no,320,522.6,54.089999999999996
143,0,0,2.48,1,no,266,445.8,40.589999999999996
65,0,0,1.19,1,no,224,532.8,46.64
1,0,0,3.73,1,no,252,476.0,44.019999999999996
60,0,0,2.13,1,no,322,545.3,49.699999999999996
43,0,0,2.92,1,no,316,361.1,30.0
143,0,0,3.78,0,no,297,494.79999999999995,52.64999999999999
81,0,1,3.08,0,no,301,465.40000000000003,45.05
24,0,0,1.78,1,no,321,601.6,63.10999999999999
77,0,0,3.24,1,no,291,499.9,38.78
74,0,0,2.7,1,no,310,661.7,67.19
74,1,0,3.81,1,yes,342,540.9,48.37
200,0,0,3.02,1,no,315,439.0,41.1
86,0,0,3.51,4,no,287,704.9,68.93
91,0,1,2.48,0,no,316,673.6,59.95
130,0,0,3.86,1,no,286,580.3,48.76
56,0,0,3.21,2,no,294,571.0999999999999,44.26
117,0,0,4.19,0,no,350,615.0,58.44
63,0,0,1.76,2,no,281,671.0,60.88
126,0,0,1.73,0,no,312,575.4,59.78
132,0,0,3.4,1,no,322,670.8,62.449999999999996
81,0,1,2.48,4,yes,355,551.6,53.44
122,0,0,3.11,2,no,285,558.7,53.45
46,0,0,3.62,2,yes,265,722.9,75.15
150,0,1,2.97,1,no,285,545.9,53.16
99,0,0,2.27,1,no,318,570.8,51.87
87,0,0,2.97,1,no,292,633.0999999999999,67.04
101,0,0,3.13,4,no,255,584.1,54.87
53,0,0,2.89,3,no,323,515.1,55.239999999999995
132,0,1,2.32,2,no,305,588.4,55.93
158,0,0,2.32,2,no,351,601.1,55.510000000000005
114,0,1,2.78,0,no,354,584.3,54.45
144,1,0,2.54,0,no,263,626.5,58.379999999999995
91,0,1,3.32,3,no,313,608.9,63.89
58,0,0,3.46,2,no,305,474.90000000000003,46.67
5,0,0,3.59,3,no,203,600.5,59.410000000000004
97,0,0,1.13,0,no,242,688.8,71.01
107,0,0,2.08,3,no,294,582.0,58.71
142,0,1,2.92,1,no,255,589.8,52.419999999999995
73,0,0,3.29,0,no,320,545.9,56.419999999999995
48,0,1,4.24,2,yes,303,674.0,59.68000000000001
43,0,0,2.48,0,no,368,545.3,60.78
122,0,1,3.65,1,yes,324,587.7,58.239999999999995
93,0,0,2.38,0,no,224,582.4,60.47
85,0,0,3.11,1,no,295,620.9,58.99
59,0,0,1.35,3,no,257,685.5,61.0
87,0,0,3.19,1,no,279,545.8,59.67
137,0,0,3.32,0,no,283,453.70000000000005,45.68
21,0,1,2.57,6,no,263,586.0,54.2
129,0,0,2.81,0,yes,305,717.4,81.75
104,0,0,3.51,0,no,257,526.4,45.25
93,0,1,3.19,4,yes,323,483.29999999999995,45.019999999999996
63,0,0,3.54,4,yes,334,768.5,79.98
161,0,0,2.11,0,no,318,543.8000000000001,46.24000000000001
50,0,0,3.13,3,no,322,544.6,56.269999999999996
103,0,1,1.86,1,no,268,619.7,51.45
84,0,1,3.51,1,no,315,522.3,49.38
92,0,0,2.43,1,no,328,658.3,65.16
77,0,0,2.67,1,no,305,645.1,59.07000000000001
64,1,0,3.59,1,yes,236,871.6999999999999,92.56
159,0,1,3.19,1,no,385,454.40000000000003,40.49
110,1,1,2.24,1,yes,283,709.3000000000001,75.93
178,0,0,3.67,1,no,338,610.0,69.38
50,0,1,2.13,2,no,299,544.0,53.96000000000001
45,0,1,2.08,1,no,326,305.6,31.240000000000002
70,0,0,2.59,0,no,301,523.8,45.03
94,0,0,2.03,1,no,300,487.59999999999997,51.85999999999999
179,0,0,3.13,0,no,303,499.79999999999995,45.08
116,0,0,3.05,2,no,262,581.5,61.97
59,0,0,3.97,0,no,284,587.7,58.17
165,0,0,2.13,0,no,294,427.0,51.77
140,0,0,2.27,1,no,299,553.5,47.28
93,0,1,1.84,2,no,278,544.3,48.45
52,0,1,2.21,0,no,271,567.2,55.720000000000006
64,0,1,3.32,1,no,317,495.3,53.199999999999996
48,0,0,2.24,2,no,290,641.3,65.36
181,0,0,1.62,1,no,244,562.1,51.03
168,0,1,3.08,2,no,279,474.9,41.699999999999996
155,0,0,3.05,3,no,325,517.6,52.67
105,0,0,1.03,0,no,335,671.6,71.28
182,0,0,2.16,2,no,322,561.5999999999999,46.32
104,0,0,3.54,1,no,241,571.9,52.980000000000004
102,0,0,3.24,0,no,352,501.0,40.17
122,0,0,3.21,0,no,307,651.7,66.62
41,0,0,2.32,1,no,335,490.4,46.11
132,0,0,2.46,2,no,332,597.0999999999999,58.72
76,0,0,3.08,1,yes,318,664.3,72.03999999999999
13,0,0,3.05,1,no,262,511.59999999999997,47.26
115,0,1,3.83,2,no,367,581.8,52.08
67,0,0,2.27,1,no,231,445.8,47.74
100,0,0,2.11,2,no,292,460.29999999999995,46.35
146,1,0,3.02,1,no,286,610.1,54.59
148,0,1,3.32,1,no,316,800.0,78.99
67,0,1,2.7,2,no,281,545.8,48.08
161,1,0,3.48,1,yes,340,698.5,65.67999999999999
70,0,0,0.0,1,no,349,662.2,66.29
99,0,1,2.51,2,yes,329,663.8,66.17
87,0,0,1.43,1,no,276,485.6,47.01
131,0,0,3.54,2,no,289,489.2,42.42
119,0,0,2.7,2,no,298,567.2,57.949999999999996
119,0,1,3.24,3,no,305,521.8,49.629999999999995
87,1,0,2.89,0,no,253,472.29999999999995,44.629999999999995
112,0,0,3.81,5,yes,314,372.70000000000005,35.32
75,0,0,2.89,2,no,284,595.5,50.6
150,0,0,2.48,4,no,299,648.9000000000001,61.7
161,0,1,4.35,0,no,326,648.3000000000001,67.28999999999999
91,1,1,2.67,0,no,373,517.5999999999999,42.32
124,0,0,2.75,3,no,285,549.0999999999999,52.98
94,1,0,1.94,4,no,296,485.1,58.11
217,0,0,2.51,4,no,350,641.8000000000001,57.28999999999999
158,0,0,1.73,0,no,312,696.4000000000001,68.64
102,0,0,1.92,0,no,274,628.5,56.99
85,0,0,2.08,0,no,326,604.0,62.85
79,0,0,2.27,1,no,281,555.9,50.01
139,0,1,3.48,2,no,266,457.20000000000005,39.75
103,0,0,2.78,0,no,299,657.2,69.66
78,0,0,2.73,2,no,302,595.3000000000001,54.769999999999996
50,0,0,2.35,1,no,324,444.79999999999995,45.309999999999995
67,0,0,1.89,0,no,342,501.5,51.650000000000006
86,0,1,3.59,1,no,380,395.09999999999997,38.51
174,0,0,2.38,1,no,312,533.3,61.42999999999999
124,0,0,4.13,1,no,300,455.6,48.220000000000006
190,0,1,2.67,1,no,262,437.70000000000005,40.120000000000005
101,0,0,2.89,1,no,347,484.9,39.55
68,0,1,2.67,0,no,257,611.1,65.59
117,0,1,3.19,0,no,321,708.0,67.83
118,0,0,3.29,1,no,283,598.6,57.47
22,0,0,3.38,1,no,311,571.4,54.49
134,0,0,1.35,1,no,384,624.9,63.400000000000006
164,0,1,3.86,1,no,247,420.70000000000005,52.38
177,0,0,3.38,2,no,280,620.2,64.02
110,0,0,2.4,0,no,269,565.0,55.58
53,0,1,1.76,1,no,279,460.5,32.21
80,0,0,1.81,0,yes,331,707.0999999999999,80.99
158,0,0,2.21,1,no,287,641.2,63.94
114,0,0,0.0,0,no,284,587.0,57.36
64,0,1,2.03,1,no,340,736.9,78.62
88,0,0,3.19,3,no,265,603.0999999999999,62.74
82,1,0,3.35,3,no,274,597.6,61.54
111,0,0,3.32,3,no,310,631.3,68.56
60,0,0,3.35,2,no,318,583.6999999999999,66.7
113,0,0,1.86,3,no,302,625.8,54.58
109,0,0,2.21,1,no,363,692.0,66.55
105,0,1,3.48,0,no,253,566.6,47.15
85,0,0,3.59,2,no,319,560.4000000000001,59.04
59,0,0,2.7,2,no,290,528.8000000000001,54.15
148,0,0,2.57,1,no,287,520.7,53.39
115,0,0,1.94,0,no,288,634.1,65.55
106,0,0,1.62,1,no,264,633.8,70.77
93,0,0,3.83,1,no,321,596.2,49.120000000000005
57,0,1,3.51,1,no,324,754.7,77.86999999999999
98,0,0,1.38,1,no,344,564.5999999999999,56.63
157,0,0,0.59,3,no,293,593.6,67.86000000000001
116,0,1,2.24,1,no,293,687.7,66.91000000000001
30,0,0,2.46,2,no,307,586.4,56.43
111,0,0,2.84,4,yes,268,493.4,48.43
52,0,0,3.29,0,no,291,584.6,55.22
72,0,0,2.81,4,no,297,590.1,61.370000000000005
135,0,1,3.48,2,yes,348,602.7,62.16
86,0,0,2.73,3,no,334,628.6,59.29
98,0,1,3.46,3,no,262,533.4000000000001,54.05
151,0,0,1.57,3,no,311,529.3,56.53
118,0,0,2.13,0,no,327,535.4,49.13
117,0,0,2.0,2,no,294,656.5999999999999,57.97
55,0,0,4.62,0,no,286,555.6,53.36
82,0,0,3.59,0,no,290,561.0,44.1
152,0,0,2.86,1,no,301,542.8000000000001,61.93
108,0,1,2.94,1,no,292,682.8,62.05
98,0,0,3.38,1,yes,336,539.9000000000001,53.019999999999996
130,0,0,3.16,3,no,295,674.9,60.099999999999994
136,1,0,3.19,1,no,341,564.8,58.9
47,0,0,3.32,3,no,274,590.5,53.519999999999996
189,0,0,3.05,3,no,349,624.1,63.59
107,0,0,3.27,1,no,341,469.7,47.28
91,0,0,3.16,5,yes,367,562.6,51.36
159,0,0,2.81,1,yes,358,677.2,63.96
11,0,1,2.7,2,no,296,645.4,54.7
167,0,0,2.67,1,no,315,638.8,59.27
99,0,1,1.97,2,no,301,493.0,42.07000000000001
159,0,1,4.56,0,no,250,604.2,57.98
71,0,0,2.43,2,no,280,406.6,36.75
122,0,0,3.43,1,no,209,467.5,32.66
83,0,1,3.19,1,no,312,468.7,39.33
64,0,0,3.32,5,yes,299,529.0,48.92
144,0,1,3.29,2,no,302,658.4,68.98
106,1,1,3.89,1,yes,334,739.5,75.67000000000002
19,0,1,3.05,1,no,329,641.6999999999999,57.42
46,0,0,3.67,1,no,271,536.2,50.5
127,0,0,3.16,2,no,345,581.3,61.209999999999994
9,0,1,2.73,1,no,340,573.0,59.32
157,0,0,2.13,1,no,251,606.2,60.32
105,0,1,2.7,0,no,318,700.9,64.97999999999999
155,0,0,2.92,2,no,261,496.3,55.2
161,0,0,1.08,1,no,272,595.7,54.53
95,0,1,2.86,0,no,262,621.7,67.35
122,0,0,2.62,3,no,297,477.0,46.830000000000005
119,0,1,3.05,0,no,231,495.2,54.980000000000004
99,0,0,1.51,1,no,323,438.6,39.949999999999996
76,0,1,2.19,1,no,337,554.4,59.980000000000004
167,0,0,3.0,4,yes,313,511.2,47.9
129,0,0,3.19,1,no,346,467.1,50.75
116,0,0,2.11,1,no,338,535.6,49.47
60,1,0,3.0,1,no,322,593.5,57.85
128,0,0,1.73,0,no,340,510.29999999999995,45.709999999999994
47,0,1,2.86,0,no,281,433.7,39.730000000000004
40,1,0,2.21,3,no,252,631.6999999999999,56.93
173,0,0,2.94,0,no,232,417.1,46.03999999999999
66,0,1,3.24,2,no,320,449.90000000000003,48.910000000000004
50,1,1,2.16,0,no,281,771.4,84.68
130,0,0,3.48,1,no,276,593.5999999999999,54.2
89,1,0,1.46,1,no,306,520.3,47.64
108,0,0,4.1,0,no,253,563.6,59.239999999999995
32,0,0,3.46,1,no,322,471.20000000000005,48.17
166,0,0,2.48,2,no,315,503.1,54.769999999999996
72,0,1,1.57,1,no,296,531.1,46.349999999999994
134,0,1,2.32,0,no,272,493.0,53.379999999999995
13,0,0,2.62,4,no,283,574.1,57.75
90,0,0,3.81,3,no,295,574.3,47.56
111,0,1,3.02,3,no,255,513.8,53.449999999999996
72,0,0,3.54,0,no,326,588.3,60.279999999999994
67,0,1,2.03,1,no,327,667.6,66.65
172,0,0,3.89,3,yes,331,618.7,70.86
154,0,1,2.43,2,no,290,562.6,55.97
69,0,0,2.62,2,no,283,652.0999999999999,63.3
123,0,0,2.65,3,no,298,642.8,63.989999999999995
130,0,1,2.35,0,no,295,565.9,52.36
142,0,1,1.59,2,no,329,714.3,69.29
29,0,0,2.51,1,no,289,584.2,51.77
87,0,1,3.02,0,no,322,542.4,51.29
149,0,0,2.4,0,no,276,375.3,38.63
146,1,0,2.48,2,no,273,546.1,52.92
88,1,0,1.94,4,yes,253,772.8,74.24
119,1,1,2.35,5,yes,312,451.8,48.71
135,0,0,2.97,1,no,341,604.5,60.97
100,0,0,1.86,1,no,337,512.1,59.220000000000006
98,0,0,3.21,4,no,273,726.5999999999999,68.89
180,0,1,2.05,1,no,278,671.6,68.52
100,0,1,3.13,1,no,339,654.0,66.73
119,0,1,2.16,2,no,319,687.4,66.91
86,0,0,3.4,0,no,234,654.3,48.73
155,0,1,1.38,1,no,297,652.0999999999999,60.46
78,1,0,2.57,1,yes,319,654.5,69.67
153,0,0,2.3,1,no,319,571.8,57.77
92,0,1,2.62,0,no,341,520.6,48.42000000000001
13,0,1,3.05,2,no,289,453.79999999999995,49.400000000000006
154,0,0,2.75,3,no,333,602.5,59.26
144,1,1,3.46,0,no,310,650.2,59.9
48,0,0,2.13,1,no,285,614.4,69.25
94,0,0,2.13,1,no,293,622.9000000000001,59.419999999999995
139,0,0,3.4,1,no,346,585.0,56.92999999999999
126,0,0,3.19,1,no,301,620.9,63.28
122,0,0,2.57,2,no,316,572.3000000000001,48.669999999999995
139,0,0,3.05,1,no,318,571.6,59.69
95,0,0,1.59,3,no,319,456.2,46.629999999999995
80,0,1,2.89,4,no,250,555.4000000000001,55.33
131,0,1,2.05,3,no,317,716.6999999999999,72.53999999999999
36,0,0,2.94,1,no,305,589.7,57.379999999999995
180,0,0,4.24,2,no,278,534.7,50.44
25,0,0,3.4,2,no,307,532.5,48.85
113,0,0,1.32,3,no,301,612.7,64.16
120,0,0,2.51,1,no,303,467.20000000000005,50.06
74,0,0,3.08,1,no,269,337.5,34.099999999999994
109,0,0,3.08,2,no,295,529.9,54.8
162,0,1,3.32,0,no,323,495.1,52.67
124,0,1,2.4,1,no,275,596.9,55.18
177,0,0,2.03,2,no,252,552.9,45.79
91,0,0,2.86,1,no,297,680.1,67.03999999999999
24,0,0,4.13,0,yes,277,611.2,65.23
48,0,0,2.4,0,no,229,292.59999999999997,31.11
86,0,0,2.65,2,no,322,449.70000000000005,42.78
163,0,0,2.86,4,no,219,547.0999999999999,55.57999999999999
91,0,0,2.73,0,no,324,496.5,52.42
56,0,0,3.16,3,no,281,480.40000000000003,46.949999999999996
147,1,1,2.19,3,no,345,780.9,70.96000000000001
64,0,0,2.73,2,no,308,526.9,52.4
108,0,1,2.59,4,yes,276,593.7,53.849999999999994
159,0,0,4.46,5,no,318,607.6,60.02
136,1,0,2.46,3,no,276,630.5,69.67999999999999
45,0,1,2.08,1,no,285,712.8,66.85
122,0,0,3.02,2,no,375,559.6,51.95
138,0,0,2.43,5,no,282,616.4000000000001,59.620000000000005
132,0,0,2.38,1,no,268,571.1,48.96
101,1,0,3.13,0,no,306,603.3,58.83
58,0,0,2.11,2,no,333,655.4,69.14
81,0,0,1.4,1,no,332,461.1,44.1
116,0,0,2.38,2,no,295,582.0,62.23
62,0,1,3.0,2,yes,323,674.0999999999999,61.68
90,0,0,2.92,0,no,283,603.3,48.28
98,0,0,1.62,2,no,278,567.3,53.29
73,0,0,4.86,1,no,325,501.7,53.33
107,1,0,3.02,2,no,260,687.6,65.15
55,0,1,3.38,2,no,310,558.0999999999999,53.519999999999996
76,0,1,2.57,3,no,345,351.99999999999994,42.6
30,0,0,1.92,3,no,322,582.8,53.98
157,0,0,3.11,4,no,345,505.1,55.09
40,0,1,2.03,1,yes,254,479.5,55.040000000000006
72,0,0,2.84,1,no,262,472.20000000000005,46.12
95,0,1,2.73,1,no,338,669.8000000000001,71.28
42,0,0,2.43,0,no,300,477.2,47.470000000000006
86,0,0,1.46,1,no,290,649.6,60.21
131,0,0,2.92,0,no,313,616.5,64.64
